timestep,cumulative_active_nodes,percent_activated,reward,algorithm,trial
1,102,50.495049504950494,153.7714539453983,cdsqn,9
2,235,65.84158415841584,203.07298903908855,cdsqn,9
3,383,73.26732673267327,226.56430519577677,cdsqn,9
4,538,76.73267326732673,235.85029684368277,cdsqn,9
5,698,79.20792079207921,241.50576293746892,cdsqn,9
6,855,77.72277227722772,238.56406868775767,cdsqn,9
7,1015,79.20792079207921,243.42430226309548,cdsqn,9
8,1174,78.71287128712872,244.03183581250588,cdsqn,9
9,1320,72.27722772277228,223.41439156832652,cdsqn,9
10,1468,73.26732673267327,226.81669876313768,cdsqn,9
11,1622,76.23762376237624,237.93060994835923,cdsqn,9
12,1777,76.73267326732673,237.10927169446438,cdsqn,9
13,1933,77.22772277227723,238.74385498542722,cdsqn,9
14,2087,76.23762376237624,236.86636879929407,cdsqn,9
15,2248,79.70297029702971,242.794789232366,cdsqn,9
16,2400,75.24752475247524,231.55437843506817,cdsqn,9
17,2568,83.16831683168317,256.39811216923164,cdsqn,9
18,2738,84.15841584158416,262.18421207133014,cdsqn,9
19,2905,82.67326732673267,255.6692430877096,cdsqn,9
20,3061,77.22772277227723,237.629807416897,cdsqn,9
1,112,55.44554455445545,172.76746442957958,whittle,9
2,245,65.84158415841584,203.3642385044511,whittle,9
3,403,78.21782178217822,238.93858684522328,whittle,9
4,568,81.68316831683168,251.96153477972078,whittle,9
5,732,81.1881188118812,253.2455131677511,whittle,9
6,896,81.1881188118812,249.68224579153272,whittle,9
7,1066,84.15841584158416,258.95398133008223,whittle,9
8,1218,75.24752475247524,230.39798762291525,whittle,9
9,1380,80.19801980198021,244.05881366942836,whittle,9
10,1547,82.67326732673267,257.62255051437546,whittle,9
11,1714,82.67326732673267,255.42582395702973,whittle,9
12,1880,82.17821782178217,253.22129088111254,whittle,9
13,2043,80.6930693069307,249.34714043082576,whittle,9
14,2202,78.71287128712872,243.76239961873452,whittle,9
15,2357,76.73267326732673,235.2096887061406,whittle,9
16,2510,75.74257425742574,232.83065615896484,whittle,9
17,2663,75.74257425742574,233.48738202480027,whittle,9
18,2811,73.26732673267327,226.19578834021178,whittle,9
19,2975,81.1881188118812,252.65856704202005,whittle,9
20,3141,82.17821782178217,254.25709779682117,whittle,9
1,123,60.89108910891089,185.29094142469387,random,9
2,271,73.26732673267327,220.59668044630644,random,9
3,423,75.24752475247524,228.12134146615665,random,9
4,570,72.77227722772277,221.63395410712832,random,9
5,727,77.72277227722772,237.05271642960454,random,9
6,885,78.21782178217822,239.54293292704568,random,9
7,1036,74.75247524752476,228.73399293095335,random,9
8,1195,78.71287128712872,242.66362423839684,random,9
9,1346,74.75247524752476,230.9742291438517,random,9
10,1496,74.25742574257426,228.15303466273838,random,9
11,1644,73.26732673267327,228.13857802226627,random,9
12,1793,73.76237623762376,228.58371252569813,random,9
13,1962,83.66336633663366,256.96818000418165,random,9
14,2122,79.20792079207921,245.006604945144,random,9
15,2278,77.22772277227723,238.09197527221176,random,9
16,2420,70.29702970297029,216.82873000734037,random,9
17,2568,73.26732673267327,223.7989827311167,random,9
18,2725,77.72277227722772,240.22360978526987,random,9
19,2876,74.75247524752476,230.8460007261348,random,9
20,3019,70.79207920792079,219.57918217272487,random,9
1,114,56.43564356435643,172.72081990837634,dqn,10
2,254,69.3069306930693,213.76163638255176,dqn,10
3,409,76.73267326732673,236.3943390575853,dqn,10
